,Latinsk navn,Norsk navn,Antall,Input,taxonID,scientificNameID,scientificName,scientificNameAuthorship,taxonRank,acceptedNameUsageID,acceptedNameUsage,Artsgruppe,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,higherClassification,vernacularName (nb),vernacularName (nn),dynamicProperty,gbif_id
24,Alchemilla micans,glansmarikåpe,3,Alchemilla micans,130164,103232,Alchemilla micans,Buser,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Rosales,Rosaceae,Alchemilla,,,,Plantae Magnoliophyta Eudicots Rosales Rosaceae Alchemilla,glansmarikåpe,glansmarikåpe,,3027791
25,Alchemilla monticola,beitemarikåpe,1,Alchemilla monticola,130167,103234,Alchemilla monticola,Opiz,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Rosales,Rosaceae,Alchemilla,,,,Plantae Magnoliophyta Eudicots Rosales Rosaceae Alchemilla,beitemarikåpe,beitemarikåpe,,3028763
26,Alchemilla subcrenata,engmarikåpe,5,Alchemilla subcrenata,130172,103244,Alchemilla subcrenata,Buser,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Rosales,Rosaceae,Alchemilla,,,,Plantae Magnoliophyta Eudicots Rosales Rosaceae Alchemilla,engmarikåpe,engmarikåpe,,3028176
27,Alchemilla wichurae,skarmarikåpe,8,Alchemilla wichurae,130180,103247,Alchemilla wichurae,(Buser) Stefansson,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Rosales,Rosaceae,Alchemilla,,,,Plantae Magnoliophyta Eudicots Rosales Rosaceae Alchemilla,skarmarikåpe,skarmarikåpe,,3027538
28,Alectoria nigricans,jervskjegg,5,Alectoria nigricans,47429,71456,Alectoria nigricans,(Ach.) Nyl.,species,,,Lav,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Alectoria,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Parmeliaceae Alectoria,jervskjegg,,,5261197
29,Alectoria ochroleuca,rabbeskjegg,5,Alectoria ochroleuca,47430,71457,Alectoria ochroleuca,(Hoffm.) Massal.,species,,,Lav,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Alectoria,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Parmeliaceae Alectoria,rabbeskjegg,,,5261195
30,Allantoparmelia alpicola,fjelltopplav,1,Allantoparmelia alpicola,47435,71462,Allantoparmelia alpicola,(Th. Fr.) Essl.,species,,,Lav,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Allantoparmelia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Parmeliaceae Allantoparmelia,fjelltopplav,,,2605065
31,Alleniella complanata,flatfellmose,4,Alleniella complanata,201697,214370,Alleniella complanata,"(Hedw.) S.Olsson, Enroth & D.Quandt",species,,,Moser,Plantae,Bryophyta,Bryopsida,Hypnales,Neckeraceae,Alleniella,,,,Plantae Bryophyta Bryopsida Hypnales Neckeraceae Alleniella,flatfellmose,flatfellmose,,8232782
32,Alliaria petiolata,løkurt,2,Alliaria petiolata,130196,101071,Alliaria petiolata,(M.Bieb.) Cavara & Grande,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Brassicales,Brassicaceae,Alliaria,,,,Plantae Magnoliophyta Eudicots Brassicales Brassicaceae Alliaria,løkurt,laukurt,,5376075
33,Allium oleraceum,vill-løk,6,Allium oleraceum,59369,99409,Allium oleraceum,L.,species,,,Karplanter,Plantae,Magnoliophyta,Monocots,Asparagales,Amaryllidaceae,Allium,,,,Plantae Magnoliophyta Monocots Asparagales Amaryllidaceae Allium,vill-løk,vill-lauk,,2857071
